rank,symbol,inst_id,base,asset_class,inst_category,age_days,turnover_24h,range_24h_pct,abs_return_24h_pct,score,selected_reason
1,XAU_USDT_SWAP,XAU-USDT-SWAP,XAU,commodity,4,422.1,163945897.2676,1.938903,0.681874,23.422612,long_history_okx_tradfi_or_commodity
2,BTC_USDT_SWAP,BTC-USDT-SWAP,BTC,crypto,1,2397.047,12466379948.887442,5.416689,1.354212,25.027768,long_history_liquid_crypto_fill
3,ETH_USDT_SWAP,ETH-USDT-SWAP,ETH,crypto,1,2397.047,12330479786.12109,10.422469,5.422646,24.643201,long_history_liquid_crypto_fill
4,SOL_USDT_SWAP,SOL-USDT-SWAP,SOL,crypto,1,1960.225,1057350728.2491,10.336502,4.109391,22.668163,long_history_liquid_crypto_fill
5,XRP_USDT_SWAP,XRP-USDT-SWAP,XRP,crypto,1,2397.047,282888456.75,8.355556,3.598972,21.852629,long_history_liquid_crypto_fill
6,BNB_USDT_SWAP,BNB-USDT-SWAP,BNB,crypto,1,1260.23,146477000.362,6.797099,1.018364,21.166084,long_history_liquid_crypto_fill
7,FIL_USDT_SWAP,FIL-USDT-SWAP,FIL,crypto,1,2491.091,138947383.98336,17.619411,7.388235,20.751971,long_history_liquid_crypto_fill
8,TRX_USDT_SWAP,TRX-USDT-SWAP,TRX,crypto,1,2397.047,42255181.12,3.374233,0.911854,20.692817,long_history_liquid_crypto_fill
9,ADA_USDT_SWAP,ADA-USDT-SWAP,ADA,crypto,1,2289.047,199209321.085,21.075137,13.842105,20.602363,long_history_liquid_crypto_fill
10,LTC_USDT_SWAP,LTC-USDT-SWAP,LTC,crypto,1,2397.047,48350842.2,9.740113,3.887924,20.396923,long_history_liquid_crypto_fill
11,BCH_USDT_SWAP,BCH-USDT-SWAP,BCH,crypto,1,2397.047,69322421.508,14.834674,9.648769,20.239193,long_history_liquid_crypto_fill
12,AAVE_USDT_SWAP,AAVE-USDT-SWAP,AAVE,crypto,1,2003.267,42737545.6488,13.324238,7.345506,19.918653,long_history_liquid_crypto_fill
13,AVAX_USDT_SWAP,AVAX-USDT-SWAP,AVAX,crypto,1,2081.267,37807646.4234,12.038208,7.856588,19.884873,long_history_liquid_crypto_fill
14,UNI_USDT_SWAP,UNI-USDT-SWAP,UNI,crypto,1,2087.329,25677769.041,11.941479,4.493958,19.706155,long_history_liquid_crypto_fill
15,ETC_USDT_SWAP,ETC-USDT-SWAP,ETC,crypto,1,2397.047,14282624.605,12.057554,5.90306,19.264973,long_history_liquid_crypto_fill
16,HBAR_USDT_SWAP,HBAR-USDT-SWAP,HBAR,crypto,1,1024.27,13156540.1796,10.736687,3.374926,18.907785,long_history_liquid_crypto_fill
17,OKB_USDT_SWAP,OKB-USDT-SWAP,OKB,crypto,1,274.434,24594994.29,7.575342,3.795467,18.843292,long_history_liquid_crypto_fill
18,ATOM_USDT_SWAP,ATOM-USDT-SWAP,ATOM,crypto,1,2397.047,6400029.998,10.257913,4.157303,18.782531,long_history_liquid_crypto_fill
19,H_USDT_SWAP,H-USDT-SWAP,H,crypto,1,337.267,57022736.464,14.186361,5.722164,18.232149,long_history_liquid_crypto_fill
20,CHZ_USDT_SWAP,CHZ-USDT-SWAP,CHZ,crypto,1,1911.142,30327919.5024,20.519059,10.910405,18.165448,long_history_liquid_crypto_fill
21,PUMP_USDT_SWAP,PUMP-USDT-SWAP,PUMP,crypto,1,325.788,66207929.109,21.004566,7.090909,17.964765,long_history_liquid_crypto_fill
22,PENGU_USDT_SWAP,PENGU-USDT-SWAP,PENGU,crypto,1,534.854,21519232.2048,12.070025,4.403993,17.855563,long_history_liquid_crypto_fill
23,ARB_USDT_SWAP,ARB-USDT-SWAP,ARB,crypto,1,1169.933,16936586.62566,14.400292,7.756978,17.850172,long_history_liquid_crypto_fill
24,HOME_USDT_SWAP,HOME-USDT-SWAP,HOME,crypto,1,357.09,112517697.672,52.773826,15.46674,17.714195,long_history_liquid_crypto_fill
25,GALA_USDT_SWAP,GALA-USDT-SWAP,GALA,crypto,1,1715.098,8824656.98116,13.421257,4.127929,17.7126,long_history_liquid_crypto_fill
26,ENA_USDT_SWAP,ENA-USDT-SWAP,ENA,crypto,1,261.204,71554920.6906,25.100333,7.489127,17.705259,long_history_liquid_crypto_fill
27,LPT_USDT_SWAP,LPT-USDT-SWAP,LPT,crypto,1,1869.225,5603456.1432,11.353712,0.380642,17.630052,long_history_liquid_crypto_fill
28,AXS_USDT_SWAP,AXS-USDT-SWAP,AXS,crypto,1,1773.142,9091322.28088,14.637711,6.300137,17.620423,long_history_liquid_crypto_fill
29,ORDI_USDT_SWAP,ORDI-USDT-SWAP,ORDI,crypto,1,1111.104,17844252.0585,20.131363,8.58601,17.567629,long_history_liquid_crypto_fill
30,SAHARA_USDT_SWAP,SAHARA-USDT-SWAP,SAHARA,crypto,1,343.996,12841968.0129,10.329475,0.9287,17.424854,long_history_liquid_crypto_fill
31,SUSHI_USDT_SWAP,SUSHI-USDT-SWAP,SUSHI,crypto,1,2102.091,6499024.3438,17.671736,3.881048,17.389791,long_history_liquid_crypto_fill
32,XPL_USDT_SWAP,XPL-USDT-SWAP,XPL,crypto,1,281.059,58984693.3054,27.371421,11.547233,17.344401,long_history_liquid_crypto_fill
33,PI_USDT_SWAP,PI-USDT-SWAP,PI,crypto,1,470.142,9479076.625,9.12,3.772132,17.307229,long_history_liquid_crypto_fill
34,CFX_USDT_SWAP,CFX-USDT-SWAP,CFX,crypto,1,1911.142,4683361.1382,14.123306,4.688477,17.221371,long_history_liquid_crypto_fill
35,PEOPLE_USDT_SWAP,PEOPLE-USDT-SWAP,PEOPLE,crypto,1,1646.231,3904290.9763,12.936232,3.115596,17.111828,long_history_liquid_crypto_fill
36,CRO_USDT_SWAP,CRO-USDT-SWAP,CRO,crypto,1,1884.142,2341958.136,6.496599,2.938263,17.089365,long_history_liquid_crypto_fill
37,SAND_USDT_SWAP,SAND-USDT-SWAP,SAND,crypto,1,1890.142,3751147.6264,13.883781,5.93323,17.009716,long_history_liquid_crypto_fill
38,ZIL_USDT_SWAP,ZIL-USDT-SWAP,ZIL,crypto,1,2095.091,2611192.045,11.285266,3.915663,16.972059,long_history_liquid_crypto_fill
39,ONT_USDT_SWAP,ONT-USDT-SWAP,ONT,crypto,1,2236.091,2538528.5988,12.095731,4.449938,16.92742,long_history_liquid_crypto_fill
40,JUP_USDT_SWAP,JUP-USDT-SWAP,JUP,crypto,1,855.847,7306440.225,17.203647,7.219402,16.91803,long_history_liquid_crypto_fill
41,TRB_USDT_SWAP,TRB-USDT-SWAP,TRB,crypto,1,2096.091,3323578.874,14.72577,6.661992,16.904211,long_history_liquid_crypto_fill
42,IOTA_USDT_SWAP,IOTA-USDT-SWAP,IOTA,crypto,1,2236.091,2204891.5716,13.022543,3.749737,16.798525,long_history_liquid_crypto_fill
43,KAITO_USDT_SWAP,KAITO-USDT-SWAP,KAITO,crypto,1,469.934,4409146.803,11.565495,0.664666,16.703296,long_history_liquid_crypto_fill
44,BIO_USDT_SWAP,BIO-USDT-SWAP,BIO,crypto,1,518.069,7885975.755,18.141264,6.467316,16.698657,long_history_liquid_crypto_fill
45,SNX_USDT_SWAP,SNX-USDT-SWAP,SNX,crypto,1,2114.091,1952511.424,12.090164,4.761905,16.682343,long_history_liquid_crypto_fill
46,POL_USDT_SWAP,POL-USDT-SWAP,POL,crypto,1,619.163,8739520.2703,18.635037,11.635467,16.667967,long_history_liquid_crypto_fill
47,BERA_USDT_SWAP,BERA-USDT-SWAP,BERA,crypto,1,483.934,5601559.12448,12.766768,6.050841,16.661137,long_history_liquid_crypto_fill
48,AR_USDT_SWAP,AR-USDT-SWAP,AR,crypto,1,1207.229,8853518.4834,25.024728,13.589744,16.659494,long_history_liquid_crypto_fill
49,COMP_USDT_SWAP,COMP-USDT-SWAP,COMP,crypto,1,2236.091,1687404.94,12.590361,3.488372,16.618739,long_history_liquid_crypto_fill
50,GPS_USDT_SWAP,GPS-USDT-SWAP,GPS,crypto,1,458.017,2445283.5666,5.552367,0.28777,16.522868,long_history_liquid_crypto_fill
51,LUNA_USDT_SWAP,LUNA-USDT-SWAP,LUNA,crypto,1,1468.937,1816919.4585,11.216767,4.574074,16.483666,long_history_liquid_crypto_fill
52,YGG_USDT_SWAP,YGG-USDT-SWAP,YGG,crypto,1,1764.142,2860986.07148,17.841079,8.879781,16.474193,long_history_liquid_crypto_fill
53,SOON_USDT_SWAP,SOON-USDT-SWAP,SOON,crypto,1,378.038,3607936.7976,8.317089,4.268293,16.458587,long_history_liquid_crypto_fill
54,W_USDT_SWAP,W-USDT-SWAP,W,crypto,1,793.0,4650065.23,18.4,8.172635,16.435845,long_history_liquid_crypto_fill
55,ENS_USDT_SWAP,ENS-USDT-SWAP,ENS,crypto,1,1667.11,1959427.3916,13.964152,6.343939,16.418491,long_history_liquid_crypto_fill
56,ARKM_USDT_SWAP,ARKM-USDT-SWAP,ARKM,crypto,1,561.163,7856809.68214,24.409321,7.268057,16.416866,long_history_liquid_crypto_fill
57,STX_USDT_SWAP,STX-USDT-SWAP,STX,crypto,1,1200.145,2935505.0994,16.248575,9.866393,16.333319,long_history_liquid_crypto_fill
58,KSM_USDT_SWAP,KSM-USDT-SWAP,KSM,crypto,1,2096.091,1126051.3971,12.713936,3.865239,16.249897,long_history_liquid_crypto_fill
59,PLUME_USDT_SWAP,PLUME-USDT-SWAP,PLUME,crypto,1,393.204,3492132.91294,15.603492,1.473469,16.211371,long_history_liquid_crypto_fill
60,MASK_USDT_SWAP,MASK-USDT-SWAP,MASK,crypto,1,1919.225,1207325.405,12.833787,5.216942,16.205532,long_history_liquid_crypto_fill
61,BLUR_USDT_SWAP,BLUR-USDT-SWAP,BLUR,crypto,1,1206.395,1624991.7144,13.167053,4.856512,16.192879,long_history_liquid_crypto_fill
62,RVN_USDT_SWAP,RVN-USDT-SWAP,RVN,crypto,1,1869.225,847018.68134,8.989531,2.873563,16.176115,long_history_liquid_crypto_fill
63,1INCH_USDT_SWAP,1INCH-USDT-SWAP,1INCH,crypto,1,1988.413,953060.1472,10.770089,4.183933,16.171583,long_history_liquid_crypto_fill
64,ZRO_USDT_SWAP,ZRO-USDT-SWAP,ZRO,crypto,1,715.0,5921728.72,22.438525,14.460999,16.162308,long_history_liquid_crypto_fill
65,EIGEN_USDT_SWAP,EIGEN-USDT-SWAP,EIGEN,crypto,1,612.246,4217598.9888,19.609005,9.344791,16.127274,long_history_liquid_crypto_fill
66,ATH_USDT_SWAP,ATH-USDT-SWAP,ATH,crypto,1,722.354,2520986.2632,15.280595,7.253344,16.086365,long_history_liquid_crypto_fill
67,BAT_USDT_SWAP,BAT-USDT-SWAP,BAT,crypto,1,2107.091,2095207.2008,22.257851,10.233251,16.069765,long_history_liquid_crypto_fill
68,PYTH_USDT_SWAP,PYTH-USDT-SWAP,PYTH,crypto,1,927.895,1793170.7955,15.372907,4.478046,16.043384,long_history_liquid_crypto_fill
69,FLOW_USDT_SWAP,FLOW-USDT-SWAP,FLOW,crypto,1,941.104,1605046.4018,12.991976,5.523466,16.038629,long_history_liquid_crypto_fill
70,HUMA_USDT_SWAP,HUMA-USDT-SWAP,HUMA,crypto,1,374.954,1997078.676,7.274283,4.417178,16.035418,long_history_liquid_crypto_fill
71,IMX_USDT_SWAP,IMX-USDT-SWAP,IMX,crypto,1,1660.232,1023332.3334,13.437268,4.468085,15.998777,long_history_liquid_crypto_fill
72,AUCTION_USDT_SWAP,AUCTION-USDT-SWAP,AUCTION,crypto,1,917.187,1184728.545,10.077922,4.061799,15.974997,long_history_liquid_crypto_fill
73,MAGIC_USDT_SWAP,MAGIC-USDT-SWAP,MAGIC,crypto,1,1219.221,1273980.51616,13.870152,5.12,15.966118,long_history_liquid_crypto_fill
74,MORPHO_USDT_SWAP,MORPHO-USDT-SWAP,MORPHO,crypto,1,557.1,1861437.6,11.578947,6.352683,15.918153,long_history_liquid_crypto_fill
75,XTZ_USDT_SWAP,XTZ-USDT-SWAP,XTZ,crypto,1,2236.091,737068.4895,11.676301,6.283857,15.916073,long_history_liquid_crypto_fill
76,MANA_USDT_SWAP,MANA-USDT-SWAP,MANA,crypto,1,1911.142,790420.89,12.492795,4.43404,15.915508,long_history_liquid_crypto_fill
77,LA_USDT_SWAP,LA-USDT-SWAP,LA,crypto,1,357.1,9357389.69,31.797753,13.087675,15.853358,long_history_liquid_crypto_fill
78,YFI_USDT_SWAP,YFI-USDT-SWAP,YFI,crypto,1,2102.091,575309.994,10.403727,3.688933,15.840385,long_history_liquid_crypto_fill
79,RAY_USDT_SWAP,RAY-USDT-SWAP,RAY,crypto,1,815.083,1148727.9032,10.550616,4.941482,15.836519,long_history_liquid_crypto_fill
80,ZRX_USDT_SWAP,ZRX-USDT-SWAP,ZRX,crypto,1,2114.091,677764.815,12.325155,5.226557,15.827987,long_history_liquid_crypto_fill
81,ENJ_USDT_SWAP,ENJ-USDT-SWAP,ENJ,crypto,1,826.083,1047465.212,10.911425,3.499535,15.804996,long_history_liquid_crypto_fill
82,AGLD_USDT_SWAP,AGLD-USDT-SWAP,AGLD,crypto,1,1732.102,962407.1877,15.879201,6.596906,15.784413,long_history_liquid_crypto_fill
83,NEO_USDT_SWAP,NEO-USDT-SWAP,NEO,crypto,1,2289.047,703568.746,14.049955,6.270903,15.781591,long_history_liquid_crypto_fill
84,THETA_USDT_SWAP,THETA-USDT-SWAP,THETA,crypto,1,2236.091,719939.766,14.414997,6.071645,15.777313,long_history_liquid_crypto_fill
85,AIXBT_USDT_SWAP,AIXBT-USDT-SWAP,AIXBT,crypto,1,518.225,2410789.5306,18.662449,6.228814,15.756386,long_history_liquid_crypto_fill
86,ME_USDT_SWAP,ME-USDT-SWAP,ME,crypto,1,541.871,1723089.84693,12.382276,7.971014,15.749204,long_history_liquid_crypto_fill
87,MOVE_USDT_SWAP,MOVE-USDT-SWAP,MOVE,crypto,1,542.975,1483476.4425,12.80133,4.901186,15.721104,long_history_liquid_crypto_fill
88,CELO_USDT_SWAP,CELO-USDT-SWAP,CELO,crypto,1,1715.098,655463.97255,12.858274,3.822723,15.717087,long_history_liquid_crypto_fill
89,API3_USDT_SWAP,API3-USDT-SWAP,API3,crypto,1,1555.145,652146.0765,11.637765,4.5605,15.693233,long_history_liquid_crypto_fill
90,RESOLV_USDT_SWAP,RESOLV-USDT-SWAP,RESOLV,crypto,1,359.913,3410238.1986,18.838127,10.635081,15.675109,long_history_liquid_crypto_fill
91,ZK_USDT_SWAP,ZK-USDT-SWAP,ZK,crypto,1,717.166,1982224.1524,18.431002,10.11045,15.64764,long_history_liquid_crypto_fill
92,LINEA_USDT_SWAP,LINEA-USDT-SWAP,LINEA,crypto,1,276.934,3053415.4296,17.406542,7.890961,15.614976,long_history_liquid_crypto_fill
93,PARTI_USDT_SWAP,PARTI-USDT-SWAP,PARTI,crypto,1,436.954,2941792.9528,18.671735,12.809515,15.592345,long_history_liquid_crypto_fill
94,SKY_USDT_SWAP,SKY-USDT-SWAP,SKY,crypto,1,267.038,2315844.487,12.656537,8.592796,15.576978,long_history_liquid_crypto_fill
95,QTUM_USDT_SWAP,QTUM-USDT-SWAP,QTUM,crypto,1,2236.091,546104.328,13.683473,7.11591,15.558865,long_history_liquid_crypto_fill
96,GRT_USDT_SWAP,GRT-USDT-SWAP,GRT,crypto,1,1993.1,615608.286,15.312654,7.217908,15.512966,long_history_liquid_crypto_fill
97,AVNT_USDT_SWAP,AVNT-USDT-SWAP,AVNT,crypto,1,255.871,3384225.1394,19.328494,9.893704,15.494376,long_history_liquid_crypto_fill
98,NOT_USDT_SWAP,NOT-USDT-SWAP,NOT,crypto,1,749.998,1372116.2525,18.060288,7.470289,15.493102,long_history_liquid_crypto_fill
99,RSR_USDT_SWAP,RSR-USDT-SWAP,RSR,crypto,1,2095.091,493930.3856,13.79822,5.734266,15.489426,long_history_liquid_crypto_fill
100,AERO_USDT_SWAP,AERO-USDT-SWAP,AERO,crypto,1,337.257,1815332.14,14.625446,6.60744,15.485892,long_history_liquid_crypto_fill
101,SPK_USDT_SWAP,SPK-USDT-SWAP,SPK,crypto,1,353.079,1293176.052,12.092028,4.691484,15.429934,long_history_liquid_crypto_fill
102,MINA_USDT_SWAP,MINA-USDT-SWAP,MINA,crypto,1,1822.142,562428.62784,15.004554,7.43941,15.402228,long_history_liquid_crypto_fill
